top - 13:46:09 up 25 min,  2 users,  load average: 0.02, 0.02, 0.03
Tasks:  99 total,   1 running,  98 sleeping,   0 stopped,   0 zombie
Cpu(s):  3.6%us,  0.6%sy,  0.0%ni, 95.4%id,  0.3%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1035240k total,   296000k used,   739240k free,    15424k buffers
Swap:        0k total,        0k used,        0k free,   135448k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 4870 msfadmin  20   0  2304  996  760 R  2.0  0.1   0:00.01 top                
    1 root      20   0  2844 1692  548 S  0.0  0.2   0:01.59 init               
    2 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kthreadd           
    3 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 migration/0        
    4 root      15  -5     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd/0        
    5 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/0         
    6 root      15  -5     0    0    0 S  0.0  0.0   0:00.04 events/0           
    7 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 khelper            
   41 root      15  -5     0    0    0 S  0.0  0.0   0:00.01 kblockd/0          
   44 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kacpid             
   45 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify       
   91 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kseriod            
  130 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pdflush            
  131 root      20   0     0    0    0 S  0.0  0.0   0:00.04 pdflush            
  132 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kswapd0            
  174 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 aio/0              
 1130 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ksnapd             
 1310 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ata/0              
 1314 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ata_aux            
 1323 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_0          
 1326 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_1          
 1355 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd      
 1364 root      15  -5     0    0    0 S  0.0  0.0   0:00.01 khubd              
 2066 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_2          
 2266 root      15  -5     0    0    0 S  0.0  0.0   0:00.04 kjournald          
 2420 root      16  -4  2216  664  384 S  0.0  0.1   0:00.30 udevd              
 2665 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kpsmoused          
 2742 dhcp      18  -2  2436  772  460 S  0.0  0.1   0:00.00 dhclient3          
 3608 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kjournald          
 3738 daemon    20   0  1836  532  432 S  0.0  0.1   0:00.00 portmap            
 3754 statd     20   0  1900  724  620 S  0.0  0.1   0:00.00 rpc.statd          
 3760 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 rpciod/0           
 3775 root      20   0  3648  564  316 S  0.0  0.1   0:00.00 rpc.idmapd         
 4002 root      20   0  1716  492  420 S  0.0  0.0   0:00.00 getty              
 4003 root      20   0  1716  484  420 S  0.0  0.0   0:00.00 getty              
 4009 root      20   0  1716  488  420 S  0.0  0.0   0:00.00 getty              
 4012 root      20   0  1716  492  420 S  0.0  0.0   0:00.00 getty              
 4015 root      20   0  1716  484  420 S  0.0  0.0   0:00.00 getty              
 4051 syslog    20   0  1936  652  512 S  0.0  0.1   0:00.01 syslogd            
 4086 root      20   0  1872  540  448 S  0.0  0.1   0:00.04 dd                 
 4088 klog      20   0  3284 2144  424 S  0.0  0.2   0:00.20 klogd              
 4111 bind      20   0 35668 8008 1976 S  0.0  0.8   0:00.03 named              
 4133 root      20   0  5312 1024  676 S  0.0  0.1   0:00.00 sshd               
 4209 root      20   0  2768 1304 1076 S  0.0  0.1   0:00.01 mysqld_safe        
 4251 mysql     20   0  124m  16m 4880 S  0.0  1.7   0:01.10 mysqld             
 4253 root      20   0  1700  560  484 S  0.0  0.1   0:00.00 logger             
 4330 postgres  20   0 41340 5072 4440 S  0.0  0.5   0:00.98 postgres           
 4334 postgres  20   0 41340 1380  736 S  0.0  0.1   0:00.21 postgres           
 4335 postgres  20   0 41340 1192  548 S  0.0  0.1   0:00.21 postgres           
 4336 postgres  20   0 41340 1384  660 S  0.0  0.1   0:00.05 postgres           
 4337 postgres  20   0 12660 1132  452 S  0.0  0.1   0:00.02 postgres           
 4356 daemon    25   5  2316  424  304 S  0.0  0.0   0:00.00 distccd            
 4357 daemon    25   5  2316  216   96 S  0.0  0.0   0:00.00 distccd            
 4406 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lockd              
 4407 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 nfsd4              
 4408 root      20   0     0    0    0 S  0.0  0.0   0:00.00 nfsd               
