"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.56.1","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"2","0.000410765","192.168.56.1","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"3","0.000944742","fe80::68aa:66d9:3f5:2548","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"4","0.001138286","fe80::a00:27ff:fefd:5d52","ff02::1:ff00:0","ICMPv6","86","Neighbor Solicitation for :: from 08:00:27:fd:5d:52"
"5","0.412741494","fe80::68aa:66d9:3f5:2548","ff02::1:3","LLMNR","84","Standard query 0x1e5f A wpad"
"6","0.413097427","192.168.56.1","224.0.0.252","LLMNR","64","Standard query 0x1e5f A wpad"
"7","0.749078010","192.168.56.1","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"8","1.001299423","192.168.56.1","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"9","1.001958319","fe80::68aa:66d9:3f5:2548","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"10","1.499720801","192.168.56.1","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"11","18.348524621","192.168.56.106","192.168.56.100","DHCP","325","DHCP Request  - Transaction ID 0x12229f8c"
"12","18.383140907","192.168.56.100","192.168.56.106","DHCP","590","DHCP ACK      - Transaction ID 0x12229f8c"
"13","23.365233940","PcsCompu_fd:5d:52","PcsCompu_a2:2b:5e","ARP","42","Who has 192.168.56.100? Tell 192.168.56.106"
"14","23.365625539","PcsCompu_a2:2b:5e","PcsCompu_fd:5d:52","ARP","60","192.168.56.100 is at 08:00:27:a2:2b:5e"
"15","60.391529325","192.168.56.1","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"16","60.392515185","192.168.56.1","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"17","60.393549070","fe80::68aa:66d9:3f5:2548","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"18","60.393832052","fe80::a00:27ff:fefd:5d52","ff02::1:ff00:0","ICMPv6","86","Neighbor Solicitation for :: from 08:00:27:fd:5d:52"
"19","60.640944929","192.168.56.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"20","60.806387717","fe80::68aa:66d9:3f5:2548","ff02::1:3","LLMNR","84","Standard query 0x2da2 A wpad"
"21","60.806843458","192.168.56.1","224.0.0.252","LLMNR","64","Standard query 0x2da2 A wpad"
"22","61.140970499","192.168.56.1","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"23","61.392607960","192.168.56.1","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"24","61.393915276","fe80::68aa:66d9:3f5:2548","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"25","61.641365186","192.168.56.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"26","61.890863939","192.168.56.1","192.168.56.255","NBNS","92","Name query NB WPAD<00>"
"27","62.642619992","192.168.56.1","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
