top - 11:08:24 up 5 min,  2 users,  load average: 0.05, 0.25, 0.15
Tasks:  95 total,   1 running,  94 sleeping,   0 stopped,   0 zombie
Cpu(s): 14.9%us,  2.8%sy,  0.0%ni, 80.6%id,  1.7%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1035240k total,   272104k used,   763136k free,    10612k buffers
Swap:        0k total,        0k used,        0k free,   127676k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
 4723 msfadmin  20   0  2304  992  760 R  2.0  0.1   0:00.01 top                
    1 root      20   0  2844 1692  548 S  0.0  0.2   0:01.73 init               
    2 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kthreadd           
    3 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 migration/0        
    4 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd/0        
    5 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/0         
    6 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 events/0           
    7 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 khelper            
   41 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kblockd/0          
   44 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kacpid             
   45 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kacpi_notify       
   91 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kseriod            
  130 root      20   0     0    0    0 S  0.0  0.0   0:00.00 pdflush            
  131 root      20   0     0    0    0 S  0.0  0.0   0:00.01 pdflush            
  132 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kswapd0            
  174 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 aio/0              
 1130 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ksnapd             
 1334 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ata/0              
 1338 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ata_aux            
 1356 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 ksuspend_usbd      
 1360 root      15  -5     0    0    0 S  0.0  0.0   0:00.02 khubd              
 2048 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_0          
 2202 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_1          
 2205 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_2          
 2215 root      15  -5     0    0    0 S  0.0  0.0   0:00.01 kjournald          
 2369 root      16  -4  2216  668  384 S  0.0  0.1   0:00.35 udevd              
 2689 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kpsmoused          
 3304 dhcp      18  -2  2436  556  240 S  0.0  0.1   0:00.00 dhclient3          
