Notified,Source,Destination,Protocol,Length,Info
0,192.168.56.1,192.168.56.255,NBNS,92,Name query NB WPAD<00>
0,192.168.56.1,224.0.0.251,MDNS,70,"Standard query 0x0000 A wpad.local, ""QM"" question"
0,fe80::68aa:66d9:3f5:2548,ff02::fb,MDNS,90,"Standard query 0x0000 A wpad.local, ""QM"" question"
0,fe80::a00:27ff:fefd:5d52,ff02::1:ff00:0,ICMPv6,86,Neighbor Solicitation for :: from 08:00:27:fd:5d:52
0,fe80::68aa:66d9:3f5:2548,ff02::1:3,LLMNR,84,Standard query 0x1e5f A wpad
0,192.168.56.1,224.0.0.252,LLMNR,64,Standard query 0x1e5f A wpad
0,192.168.56.1,192.168.56.255,NBNS,92,Name query NB WPAD<00>
0,192.168.56.1,224.0.0.251,MDNS,70,"Standard query 0x0000 A wpad.local, ""QM"" question"
0,fe80::68aa:66d9:3f5:2548,ff02::fb,MDNS,90,"Standard query 0x0000 A wpad.local, ""QM"" question"
0,192.168.56.1,192.168.56.255,NBNS,92,Name query NB WPAD<00>
0,192.168.56.106,192.168.56.100,DHCP,325,DHCP Request  - Transaction ID 0x12229f8c
0,192.168.56.100,192.168.56.106,DHCP,590,DHCP ACK      - Transaction ID 0x12229f8c
0,PcsCompu_fd:5d:52,PcsCompu_a2:2b:5e,ARP,42,Who has 192.168.56.100? Tell 192.168.56.106
0,PcsCompu_a2:2b:5e,PcsCompu_fd:5d:52,ARP,60,192.168.56.100 is at 08:00:27:a2:2b:5e
0,192.168.56.1,192.168.56.255,NBNS,92,Name query NB WPAD<00>
0,192.168.56.1,224.0.0.251,MDNS,70,"Standard query 0x0000 A wpad.local, ""QM"" question"
0,fe80::68aa:66d9:3f5:2548,ff02::fb,MDNS,90,"Standard query 0x0000 A wpad.local, ""QM"" question"
0,fe80::a00:27ff:fefd:5d52,ff02::1:ff00:0,ICMPv6,86,Neighbor Solicitation for :: from 08:00:27:fd:5d:52
0,192.168.56.1,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
0,fe80::68aa:66d9:3f5:2548,ff02::1:3,LLMNR,84,Standard query 0x2da2 A wpad
